b	eng	b	B	O	O
:	x	:	S	O	O
4	m	4	B	O	O
0	m	0	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

下	n	xia	B	O	O
腹	n	fu	I	O	O
部	n	bu	E	O	O
胀	v	zhang	B	SB	SB
痛	v	tong	E	SE	SE
1	m	1	S	O	O
天	q	tian	B	O	O
于	p	yu	E	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
年	m	nian	S	O	O
0	m	0	B	O	O
9	m	9	E	O	O
月	m	yue	S	O	O
0	m	0	B	O	O
5	m	5	E	O	O
日	m	ri	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
2	x	2	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

3	m	3	S	O	O
年	m	nian	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

2	m	2	S	O	O
年	m	nian	S	O	O
膀	n	bang	B	O	O
胱	n	guang	E	O	O
造	v	zao	B	O	O
瘘	g	lv	E	O	O
口	q	kou	B	O	O
出	v	chu	E	O	O
尿	v	niao	S	O	O
1	m	1	S	O	O
年	m	nian	B	O	O
于	p	yu	E	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
7	m	7	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
0	m	0	B	O	O
2	m	2	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
0	m	0	B	O	O
6	m	6	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

下	n	xia	B	O	O
肢	n	zhi	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
不	a	bu	B	O	O
适	a	shi	E	O	O
1	m	1	S	O	O
年	m	nian	B	O	O
于	p	yu	E	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
1	m	1	E	O	O
-	x	-	S	O	O
2	m	2	B	O	O
9	m	9	E	O	O

1	m	1	B	O	O
0	m	0	E	O	O
:	x	:	S	O	O
4	m	4	B	O	O
8	m	8	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

拳	n	quan	B	O	O
打	n	da	E	O	O
伤	v	shang	S	O	O
左	m	zuo	S	O	O
面	f	mian	B	O	O
部	f	bu	E	O	O
，	x	，	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
臂	n	bi	E	O	O
，	x	，	S	O	O
用	p	yong	S	O	O
改	n	gai	B	O	O
锥	n	zhui	E	O	O
划	v	hua	B	O	O
伤	v	shang	E	O	O
前	f	qian	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
后	f	hou	S	O	O
出	v	chu	B	SB	SB
血	v	xie	E	SE	SE
、	x	、	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
伴	v	ban	S	O	O
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
5	m	5	B	O	O
.	m	.	I	O	O
5	m	5	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
0	m	0	B	O	O
2	m	2	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
1	m	1	E	O	O
；	x	；	S	O	O
2	m	2	B	O	O
2	m	2	E	O	O
：	x	：	S	O	O
4	m	4	B	O	O
5	m	5	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

下	n	xia	B	O	O
腹	n	fu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
1	m	1	B	O	O
2	m	2	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
7	m	7	E	O	O
-	x	-	S	O	O
0	m	0	B	O	O
3	m	3	E	O	O
-	x	-	S	O	O
0	m	0	B	O	O
8	m	8	E	O	O
；	x	；	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
：	x	：	S	O	O
0	m	0	B	O	O
0	m	0	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

尿	n	niao	S	O	O
困	an	kun	B	SB	O
难	an	nan	E	SE	O
1	m	1	B	O	O
0	m	0	E	O	O
余	m	yu	B	O	O
年	m	nian	E	O	O
，	x	，	S	O	O
加	v	jia	B	O	O
重	v	zhong	E	O	O
1	x	1	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

半	m	ban	B	O	O
年	m	nian	E	O	O
，	x	，	S	O	O
加	v	jia	B	O	O
重	v	zhong	E	O	O
1	m	1	S	O	O
周	nr	zhou	B	O	O
于	p	yu	E	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
7	m	7	E	O	O
年	m	nian	S	O	O
2	m	2	S	O	O
月	m	yue	S	O	O
1	m	1	B	O	O
5	m	5	E	O	O
日	m	ri	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

、	x	、	S	O	O
右	n	you	B	O	O
手	n	shou	E	O	O
部	n	bu	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
1	m	1	B	O	O
.	m	.	I	O	O
5	m	5	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
7	m	7	E	O	O
；	x	；	S	O	O
1	m	1	B	O	O
6	m	6	E	O	O
：	x	：	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

沟	n	gou	S	O	O
可	l	ke	B	O	O
复	l	fu	I	O	O
性	l	xing	E	O	O
肿	n	zhong	B	SB	SB
物	n	wu	E	SE	SE
1	m	1	S	O	O
年	m	nian	B	O	O
于	p	yu	E	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
0	m	0	B	O	O
8	m	8	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
1	m	1	B	O	O
1	m	1	E	O	O

0	m	0	B	O	O
8	m	8	E	O	O
:	x	:	S	O	O
4	m	4	B	O	O
0	m	0	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O

1	m	1	S	O	O
个	m	ge	S	O	O
月	m	yue	S	O	O
。	x	。	S	O	O

晕	v	yun	S	SS	O
5	m	5	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
3	m	3	S	O	O
天	n	tian	S	O	O
。	x	。	S	O	O

痛	a	tong	S	SS	O
1	m	1	B	O	O
0	m	0	E	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
。	x	。	S	O	O

神	nr	shen	B	O	O
清	nr	qing	E	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
。	x	。	S	O	O
右	f	you	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
不	d	bu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
，	x	，	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
头	n	tou	B	SB	SB
痛	n	tong	E	SE	SE
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SI	SI
呕	v	ou	B	SI	SI
吐	v	tu	E	SE	SE
。	x	。	S	O	O
睡	v	shui	B	O	O
眠	v	mian	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
饮	n	yin	B	O	O
食	n	shi	E	O	O
及	c	ji	B	O	O
二	m	er	I	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
生	vn	sheng	B	O	O
命	vn	ming	E	O	O
体	n	ti	B	O	O
征	n	zheng	E	O	O
平	a	ping	B	O	O
稳	a	wen	E	O	O
，	x	，	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
五	n	wu	B	O	O
官	n	guan	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
左	nr	zuo	B	O	O
眉	nr	mei	I	O	O
弓	nr	gong	E	O	O
裂	v	lie	B	O	O
伤	v	shang	E	O	O
已	d	yi	S	O	O
愈	v	yu	B	O	O
合	v	he	E	O	O
。	x	。	S	O	O
右	n	you	B	O	O
眼	n	yan	E	O	O
下	f	xia	B	O	O
方	f	fang	E	O	O
可	v	ke	B	O	O
见	v	jian	E	O	O
青	nr	qing	B	SB	SB
紫	nr	zi	E	SI	SI
肿	v	zhong	B	SI	SI
胀	v	zhang	E	SE	SE
已	d	yi	S	O	O
消	v	xiao	B	O	O
退	v	tui	E	O	O
。	x	。	S	O	O
左	nr	zuo	B	O	O
耳	nr	er	E	O	O
前	f	qian	B	O	O
方	f	fang	E	O	O
擦	v	ca	B	SB	O
伤	v	shang	E	SE	O
已	d	yi	S	O	O
愈	v	yu	B	O	O
合	v	he	E	O	O
。	x	。	S	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
臂	n	bi	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
已	d	yi	S	O	O
消	v	xiao	B	O	O
退	v	tui	E	O	O
。	x	。	S	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
自	r	zi	B	O	O
如	r	ru	E	O	O
。	x	。	S	O	O
右	f	you	S	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
无	v	wu	S	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
触	n	chu	B	O	O
痛	n	tong	E	O	O
不	d	bu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
。	x	。	S	O	O
心	n	xin	B	O	O
肺	n	fei	E	O	O
腹	n	fu	S	O	O
检	vn	jian	B	O	O
查	vn	cha	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
，	x	，	S	O	O
神	l	shen	B	O	O
经	l	jing	I	O	O
系	l	xi	I	O	O
统	l	tong	E	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
未	i	wei	B	O	O
见	i	jian	I	O	O
异	i	yi	I	O	O
常	i	chang	E	O	O
。	x	。	S	O	O

患	n	huan	B	O	O
者	n	zhe	E	O	O
神	n	shen	B	O	O
志	n	zhi	E	O	O
清	t	qing	S	O	O
，	x	，	S	O	O
精	n	jing	B	O	O
神	n	shen	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
发	v	fa	B	SB	SB
热	v	re	E	SE	SE
、	x	、	S	O	O
无	v	wu	S	O	O
恶	n	e	B	SB	SB
心	n	xin	E	SE	SE
、	x	、	S	O	O
呕	v	ou	B	SB	SB
吐	v	tu	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
抽	v	chou	B	SB	O
搐	v	chu	E	SE	O
。	x	。	S	O	O
进	v	jin	B	O	O
食	v	shi	E	O	O
夜	tg	ye	B	O	O
眠	vg	mian	E	O	O
好	a	hao	S	O	O
，	x	，	S	O	O
二	m	er	B	O	O
便	d	bian	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
查	nr	cha	B	O	O
体	nr	ti	E	O	O
：	x	：	S	O	O
B	eng	B	B	O	O
p	eng	p	I	O	O
1	eng	1	I	O	O
2	eng	2	I	O	O
9	eng	9	E	O	O
/	x	/	S	O	O
7	m	7	B	O	O
5	m	5	I	O	O
m	eng	m	I	O	O
m	eng	m	I	O	O
H	eng	H	I	O	O
g	eng	g	E	O	O
，	x	，	S	O	O
头	n	tou	B	O	O
颅	n	lu	E	O	O
无	v	wu	S	O	O
畸	n	ji	B	SB	SB
形	n	xing	E	SE	SE
，	x	，	S	O	O
双	m	shuang	B	O	O
侧	v	ce	E	O	O
瞳	n	tong	B	O	O
孔	n	kong	E	O	O
正	a	zheng	B	O	O
大	a	da	E	O	O
等	u	deng	S	O	O
圆	vg	yuan	S	O	O
，	x	，	S	O	O
对	p	dui	S	O	O
光	l	guang	B	O	O
反	l	fan	I	O	O
射	l	she	E	O	O
灵	nr	ling	B	O	O
敏	nr	min	E	O	O
，	x	，	S	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
胸	s	xiong	B	O	O
壁	s	bi	E	O	O
腋	ng	yi	S	O	O
前	n	qian	B	O	O
线	n	xian	E	O	O
伤	n	shang	B	O	O
口	n	kou	E	O	O
外	f	wai	S	O	O
敷	v	fu	B	O	O
料	v	liao	E	O	O
固	a	gu	B	O	O
定	a	ding	E	O	O
好	a	hao	S	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
渗	v	shen	B	SB	SB
出	v	chu	E	SE	SE
，	x	，	S	O	O
胸	s	xiong	B	O	O
壁	s	bi	E	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
软	l	ruan	B	O	O
组	l	zu	I	O	O
织	l	zhi	E	O	O
无	v	wu	S	O	O
明	a	ming	B	O	O
显	a	xian	E	O	O
肿	v	zhong	B	SB	SB
胀	v	zhang	E	SE	SE
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
。	x	。	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
叩	vg	kou	S	O	O
清	n	qing	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
湿	a	shi	B	O	O
性	ng	xing	E	O	O
啰	zg	luo	S	O	O
音	n	yin	S	O	O
。	x	。	S	O	O
腹	ng	fu	B	O	O
软	a	ruan	E	O	O
，	x	，	S	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
肠	n	chang	S	O	O
鸣	n	ming	B	O	O
音	n	yin	E	O	O
正	d	zheng	B	O	O
常	d	chang	E	O	O
。	x	。	S	O	O
病	n	bing	B	O	O
情	n	qing	E	O	O
好	v	hao	B	O	O
转	v	zhuan	E	O	O
，	x	，	S	O	O
今	t	jin	B	O	O
日	t	ri	E	O	O
出	n	chu	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

现	tg	xian	S	O	O
患	n	huan	B	O	O
者	n	zhe	E	O	O
一	a	yi	B	O	O
般	a	ban	E	O	O
情	n	qing	B	O	O
况	n	kuang	E	O	O
可	v	ke	S	O	O
，	x	，	S	O	O
双	m	shuang	B	O	O
肺	n	fei	E	O	O
呼	v	hu	B	O	O
吸	v	xi	E	O	O
音	n	yin	S	O	O
清	a	qing	B	O	O
晰	a	xi	E	O	O
，	x	，	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
啰	y	luo	S	O	O
音	n	yin	S	O	O
，	x	，	S	O	O
律	nr	lv	B	O	O
齐	a	qi	E	O	O
，	x	，	S	O	O
各	r	ge	S	O	O
瓣	n	ban	B	O	O
膜	n	mo	E	O	O
听	v	ting	B	O	O
诊	v	zhen	E	O	O
区	n	qu	S	O	O
未	n	wei	B	O	O
闻	n	wen	E	O	O
及	c	ji	S	O	O
病	n	bing	B	O	O
理	n	li	I	O	O
性	n	xing	E	O	O
杂	n	za	B	O	O
音	n	yin	E	O	O
，	x	，	S	O	O
腹	n	fu	S	O	O
平	a	ping	B	O	O
坦	a	tan	E	O	O
，	x	，	S	O	O
软	a	ruan	S	O	O
，	x	，	S	O	O
全	n	quan	B	O	O
腹	n	fu	E	O	O
无	v	wu	S	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
、	x	、	S	O	O
无	l	wu	B	O	O
反	l	fan	E	O	O
跳	l	tiao	S	O	O
痛	v	tong	B	O	O
及	v	ji	E	O	O
肌	n	ji	S	O	O
紧	a	jin	B	O	O
张	a	zhang	E	O	O
。	x	。	S	O	O
腰	n	yao	B	O	O
部	n	bu	E	O	O
偶	d	ou	B	O	O
有	v	you	E	O	O
压	n	ya	B	O	O
痛	n	tong	E	O	O
，	x	，	S	O	O
活	vn	huo	B	O	O
动	vn	dong	E	O	O
无	v	wu	S	O	O
受	v	shou	B	O	O
限	v	xian	E	O	O
。	x	。	S	O	O
局	n	ju	B	O	O
部	n	bu	E	O	O
无	v	wu	S	O	O
红	n	hong	B	SB	SB
肿	n	zhong	E	SE	SE
。	x	。	S	O	O
双	n	shuang	B	O	O
下	n	xia	I	O	O
肢	n	zhi	E	O	O
无	v	wu	S	O	O
水	n	shui	B	SB	SB
肿	n	zhong	E	SE	SE
，	x	，	S	O	O
神	l	shen	B	O	O
经	l	jing	I	O	O
系	l	xi	I	O	O
