b	b	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

，	，	O	O
女	nv	O	O
性	xing	O	O
，	，	O	O
4	4	O	O
8	8	O	O
岁	sui	O	O
，	，	O	O
现	xian	O	O
住	zhu	O	O
河	he	O	O
北	bei	O	O
省	sheng	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
双	shuang	O	O
滦	luan	O	O
区	qu	O	O
，	，	O	O
主	zhu	O	O
因	yin	O	O
打	da	O	O
伤	shang	O	O
后	hou	O	O
头	tou	SB	SB
痛	tong	SE	SE
头	tou	SB	SB
晕	yun	SE	SE
，	，	O	O
身	shen	O	O
体	ti	O	O
多	duo	O	O
处	chu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
渗	shen	SB	SB
血	xie	SE	SE
2	2	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
年	nian	O	O
8	8	O	O
月	yue	O	O
2	2	O	O
5	5	O	O
日	ri	O	O
入	ru	O	O
院	yuan	O	O

，	，	O	O
青	qing	O	O
年	nian	O	O
男	nan	O	O
性	xing	O	O
，	，	O	O
2	2	O	O
5	5	O	O
岁	sui	O	O
，	，	O	O
河	he	O	O
北	bei	O	O
省	sheng	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
双	shuang	O	O
滦	luan	O	O
区	qu	O	O
人	ren	O	O
，	，	O	O
现	xian	O	O
住	zhu	O	O
河	he	O	O
北	bei	O	O
省	sheng	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
双	shuang	O	O
滦	luan	O	O
区	qu	O	O
三	san	O	O
岔	cha	O	O
口	kou	O	O
御	yu	O	O
景	jing	O	O
家	jia	O	O
园	yuan	O	O
，	，	O	O
主	zhu	O	O
因	yin	O	O
外	wai	O	O
伤	shang	O	O
后	hou	O	O
头	tou	SB	SB
痛	tong	SE	SE
头	tou	SB	SB
晕	yun	SE	SE
伴	ban	O	O
出	chu	SB	SB
血	xie	SE	SE
3	3	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
7	7	O	O
-	-	O	O
0	0	O	O
1	1	O	O
-	-	O	O
1	1	O	O
3	3	O	O
日	ri	O	O
1	1	O	O
3	3	O	O
:	:	O	O
0	0	O	O
7	7	O	O
分	fen	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

右	you	O	O
侧	ce	O	O
腰	yao	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
1	1	O	O
0	0	O	O
余	yu	O	O
天	tian	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
-	-	O	O
0	0	O	O
9	9	O	O
-	-	O	O
-	-	O	O
0	0	O	O
5	5	O	O

1	1	O	O
0	0	O	O
:	:	O	O
4	4	O	O
5	5	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

肿	zhong	SB	SB
物	wu	SE	SE
5	5	O	O
个	ge	O	O
月	yue	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

沟	gou	O	O
可	ke	O	O
复	fu	O	O
性	xing	O	O
肿	zhong	SB	SB
物	wu	SE	SE
1	1	O	O
个	ge	O	O
月	yue	O	O
余	yu	O	O
。	。	O	O

痛	tong	SS	SS
、	、	O	O
头	tou	SB	O
晕	yun	SE	O
，	，	O	O
右	you	O	O
手	shou	O	O
中	zhong	O	O
指	zhi	O	O
疼	teng	SB	SB
痛	tong	SE	SE
不	bu	O	O
适	shi	O	O
2	2	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
1	1	O	O
1	1	O	O
-	-	O	O
1	1	O	O
6	6	O	O

1	1	O	O
2	2	O	O
:	:	O	O
4	4	O	O
0	0	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

下	xia	O	O
腹	fu	O	O
部	bu	O	O
胀	zhang	SB	SB
痛	tong	SE	SE
1	1	O	O
天	tian	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
年	nian	O	O
0	0	O	O
9	9	O	O
月	yue	O	O
0	0	O	O
5	5	O	O
日	ri	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

疼	teng	SB	SB
痛	tong	SE	SE
2	2	O	O
小	xiao	O	O
时	shi	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

3	3	O	O
年	nian	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

2	2	O	O
年	nian	O	O
膀	bang	O	O
胱	guang	O	O
造	zao	O	O
瘘	lv	O	O
口	kou	O	O
出	chu	O	O
尿	niao	O	O
1	1	O	O
年	nian	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
7	7	O	O
-	-	O	O
-	-	O	O
0	0	O	O
2	2	O	O
-	-	O	O
-	-	O	O
0	0	O	O
6	6	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

下	xia	O	O
肢	zhi	O	O
疼	teng	SB	SB
痛	tong	SE	SE
不	bu	O	O
适	shi	O	O
1	1	O	O
年	nian	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
1	1	O	O
1	1	O	O
-	-	O	O
2	2	O	O
9	9	O	O

1	1	O	O
0	0	O	O
:	:	O	O
4	4	O	O
8	8	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

拳	quan	O	O
打	da	O	O
伤	shang	O	O
左	zuo	O	O
面	mian	O	O
部	bu	O	O
，	，	O	O
双	shuang	O	O
上	shang	O	O
臂	bi	O	O
，	，	O	O
用	yong	O	O
改	gai	O	O
锥	zhui	O	O
划	hua	O	O
伤	shang	O	O
前	qian	O	O
胸	xiong	O	O
部	bu	O	O
后	hou	O	O
出	chu	SB	SB
血	xie	SE	SE
、	、	O	O
疼	teng	SB	SB
痛	tong	SE	SE
伴	ban	O	O
头	tou	SB	O
晕	yun	SE	O
5	5	O	O
.	.	O	O
5	5	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
0	0	O	O
2	2	O	O
-	-	O	O
1	1	O	O
1	1	O	O
；	；	O	O
2	2	O	O
2	2	O	O
：	：	O	O
4	4	O	O
5	5	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

下	xia	O	O
腹	fu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
1	1	O	O
2	2	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
7	7	O	O
-	-	O	O
0	0	O	O
3	3	O	O
-	-	O	O
0	0	O	O
8	8	O	O
；	；	O	O
1	1	O	O
0	0	O	O
：	：	O	O
0	0	O	O
0	0	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

尿	niao	O	O
困	kun	SB	O
难	nan	SE	O
1	1	O	O
0	0	O	O
余	yu	O	O
年	nian	O	O
，	，	O	O
加	jia	O	O
重	zhong	O	O
1	1	O	O
小	xiao	O	O
时	shi	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

半	ban	O	O
年	nian	O	O
，	，	O	O
加	jia	O	O
重	zhong	O	O
1	1	O	O
周	zhou	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
7	7	O	O
年	nian	O	O
2	2	O	O
月	yue	O	O
1	1	O	O
5	5	O	O
日	ri	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

、	、	O	O
右	you	O	O
手	shou	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
1	1	O	O
.	.	O	O
5	5	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
1	1	O	O
0	0	O	O
-	-	O	O
1	1	O	O
7	7	O	O
；	；	O	O
1	1	O	O
6	6	O	O
：	：	O	O
1	1	O	O
0	0	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

沟	gou	O	O
可	ke	O	O
复	fu	O	O
性	xing	O	O
肿	zhong	SB	SB
物	wu	SE	SE
1	1	O	O
年	nian	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
-	-	O	O
0	0	O	O
8	8	O	O
-	-	O	O
-	-	O	O
1	1	O	O
1	1	O	O

0	0	O	O
8	8	O	O
:	:	O	O
4	4	O	O
0	0	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O

1	1	O	O
个	ge	O	O
月	yue	O	O
。	。	O	O

晕	yun	SS	O
5	5	O	O
小	xiao	O	O
时	shi	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

疼	teng	SB	SB
痛	tong	SE	SE
3	3	O	O
天	tian	O	O
。	。	O	O

痛	tong	SS	O
1	1	O	O
0	0	O	O
小	xiao	O	O
时	shi	O	O
。	。	O	O

神	shen	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
。	。	O	O
右	you	O	O
胸	xiong	O	O
部	bu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
不	bu	O	O
明	ming	O	O
显	xian	O	O
，	，	O	O
双	shuang	O	O
上	shang	O	O
肢	zhi	O	O
无	wu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
无	wu	O	O
头	tou	SB	SB
痛	tong	SE	SE
头	tou	SB	SB
晕	yun	SE	SE
，	，	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SI	SI
呕	ou	SI	SI
吐	tu	SE	SE
。	。	O	O
睡	shui	O	O
眠	mian	O	O
可	ke	O	O
，	，	O	O
饮	yin	O	O
食	shi	O	O
及	ji	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
生	sheng	O	O
命	ming	O	O
体	ti	O	O
征	zheng	O	O
平	ping	O	O
稳	wen	O	O
，	，	O	O
头	tou	O	O
颅	lu	O	O
五	wu	O	O
官	guan	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
左	zuo	O	O
眉	mei	O	O
弓	gong	O	O
裂	lie	O	O
伤	shang	O	O
已	yi	O	O
愈	yu	O	O
合	he	O	O
。	。	O	O
右	you	O	O
眼	yan	O	O
下	xia	O	O
方	fang	O	O
可	ke	O	O
见	jian	O	O
青	qing	SB	SB
紫	zi	SI	SI
肿	zhong	SI	SI
胀	zhang	SE	SE
已	yi	O	O
消	xiao	O	O
退	tui	O	O
。	。	O	O
左	zuo	O	O
耳	er	O	O
前	qian	O	O
方	fang	O	O
擦	ca	SB	O
伤	shang	SE	O
已	yi	O	O
愈	yu	O	O
合	he	O	O
。	。	O	O
双	shuang	O	O
上	shang	O	O
臂	bi	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
已	yi	O	O
消	xiao	O	O
退	tui	O	O
。	。	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
。	。	O	O
右	you	O	O
胸	xiong	O	O
部	bu	O	O
无	wu	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
局	ju	O	O
部	bu	O	O
触	chu	O	O
痛	tong	O	O
不	bu	O	O
明	ming	O	O
显	xian	O	O
。	。	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
检	jian	O	O
查	cha	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
，	，	O	O
神	shen	O	O
经	jing	O	O
系	xi	O	O
统	tong	O	O
查	cha	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
、	、	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SE	SE
、	、	O	O
呕	ou	SB	SB
吐	tu	SE	SE
，	，	O	O
无	wu	O	O
抽	chou	SB	O
搐	chu	SE	O
。	。	O	O
进	jin	O	O
食	shi	O	O
夜	ye	O	O
眠	mian	O	O
好	hao	O	O
，	，	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
B	B	O	O
p	p	O	O
1	1	O	O
2	2	O	O
9	9	O	O
/	/	O	O
7	7	O	O
5	5	O	O
m	m	O	O
m	m	O	O
H	H	O	O
g	g	O	O
，	，	O	O
头	tou	O	O
颅	lu	O	O
无	wu	O	O
畸	ji	SB	SB
形	xing	SE	SE
，	，	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
，	，	O	O
右	you	O	O
侧	ce	O	O
胸	xiong	O	O
壁	bi	O	O
腋	yi	O	O
前	qian	O	O
线	xian	O	O
伤	shang	O	O
口	kou	O	O
外	wai	O	O
敷	fu	O	O
料	liao	O	O
固	gu	O	O
定	ding	O	O
好	hao	O	O
，	，	O	O
无	wu	O	O
渗	shen	SB	SB
出	chu	SE	SE
，	，	O	O
胸	xiong	O	O
壁	bi	O	O
局	ju	O	O
部	bu	O	O
软	ruan	O	O
组	zu	O	O
织	zhi	O	O
无	wu	O	O
明	ming	O	O
显	xian	O	O
肿	zhong	SB	SB
胀	zhang	SE	SE
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
叩	kou	O	O
清	qing	O	O
音	yin	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
湿	shi	O	O
性	xing	O	O
啰	luo	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
病	bing	O	O
情	qing	O	O
好	hao	O	O
转	zhuan	O	O
，	，	O	O
今	jin	O	O
日	ri	O	O
出	chu	O	O
院	yuan	O	O
。	。	O	O

现	xian	O	O
患	huan	O	O
者	zhe	O	O
一	yi	O	O
般	ban	O	O
情	qing	O	O
况	kuang	O	O
可	ke	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
晰	xi	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
啰	luo	O	O
音	yin	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
病	bing	O	O
理	li	O	O
性	xing	O	O
杂	za	O	O
音	yin	O	O
，	，	O	O
腹	fu	O	O
平	ping	O	O
坦	tan	O	O
，	，	O	O
软	ruan	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
、	、	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
腰	yao	O	O
部	bu	O	O
偶	ou	O	O
有	you	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
活	huo	O	O
动	dong	O	O
无	wu	O	O
受	shou	O	O
限	xian	O	O
。	。	O	O
局	ju	O	O
部	bu	O	O
无	wu	O	O
红	hong	SB	SB
肿	zhong	SE	SE
。	。	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
，	，	O	O
神	shen	O	O
经	jing	O	O
系	xi	O	O
统	tong	O	O
查	cha	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
一	yi	O	O
般	ban	O	O
情	qing	O	O
况	kuang	O	O
可	ke	O	O
。	。	O	O
头	tou	SB	O
痛	tong	SE	O
、	、	O	O
头	tou	SB	O
晕	yun	SE	O
症	zheng	O	O
状	zhuang	O	O
较	jiao	O	O
前	qian	O	O
缓	huan	O	O
解	jie	O	O
。	。	O	O
周	zhou	O	O
身	shen	O	O
皮	pi	O	O
肤	fu	O	O
抓	zhua	O	O
伤	shang	O	O
已	yi	O	O
结	jie	O	O
痂	jia	O	O
，	，	O	O
部	bu	O	O
分	fen	O	O
脱	tuo	O	O
痂	jia	O	O
。	。	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
，	，	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
晰	xi	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
啰	luo	O	O
音	yin	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
各	ge	O	O
瓣	ban	O	O
膜	mo	O	O
听	ting	O	O
诊	zhen	O	O
区	qu	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
病	bing	O	O
理	li	O	O
性	xing	O	O
杂	za	O	O
音	yin	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
无	wu	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
，	，	O	O
全	quan	O	O
腹	fu	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
异	yi	O	O
常	chang	O	O
包	bao	O	SB
块	kuai	O	SE
，	，	O	O
肝	gan	O	O
、	、	O	O
脾	pi	O	O
肋	lei	O	O
下	xia	O	O
未	wei	O	O
触	chu	O	O
及	ji	O	O
，	，	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
双	shuang	O	O
下	xia	O	O
肢	zhi	O	O
无	wu	O	O
水	shui	SB	SB
肿	zhong	SE	SE
，	，	O	O
神	shen	O	O
经	jing	O	O
系	xi	O	O
统	tong	O	O
查	cha	O	O
体	ti	O	O
未	wei	O	O
见	jian	O	O
异	yi	O	O
常	chang	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
神	shen	O	O
志	zhi	O	O
清	qing	O	O
，	，	O	O
精	jing	O	O
神	shen	O	O
尚	shang	O	O
好	hao	O	O
，	，	O	O
无	wu	O	O
明	ming	O	O
显	xian	O	O
头	tou	SB	SB
痛	tong	SE	SE
、	、	O	O
头	tou	SB	SB
晕	yun	SE	SE
，	，	O	O
无	wu	O	O
恶	e	SB	SB
心	xin	SE	SE
，	，	O	O
无	wu	O	O
抽	chou	SB	O
搐	chu	SE	O
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
头	tou	O	O
部	bu	O	O
创	chuang	O	O
口	kou	O	O

敷	fu	O	O
料	liao	O	O
包	bao	O	O
扎	zha	O	O
固	gu	O	O
定	ding	O	O
好	hao	O	O
，	，	O	O
无	wu	O	O
渗	shen	O	O
出	chu	O	O
，	，	O	O
双	shuang	O	O
眼	yan	O	O
瞳	tong	O	O
孔	kong	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
，	，	O	O
心	xin	O	O
肺	fei	O	O
腹	fu	O	O
听	ting	O	O
诊	zhen	O	O
未	wei	O	O
见	jian	O	O
明	ming	O	O
显	xian	O	O
异	yi	O	O
常	chang	O	O
，	，	O	O
四	si	O	O
肢	zhi	O	O
活	huo	O	O
动	dong	O	O
无	wu	O	O
异	yi	O	O
常	chang	O	O
，	，	O	O
病	bing	O	O
理	li	O	O
征	zheng	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O
患	huan	O	O
者	zhe	O	O
病	bing	O	O
情	qing	O	O
好	hao	O	O
转	zhuan	O	O
，	，	O	O
要	yao	O	O
求	qiu	O	O
今	jin	O	O
日	ri	O	O
出	chu	O	O
院	yuan	O	O
。	。	O	O

今	jin	O	O
日	ri	O	O
查	cha	O	O
房	fang	O	O
，	，	O	O
患	huan	O	O
者	zhe	O	O
不	bu	O	O
在	zai	O	O
，	，	O	O
电	dian	O	O
话	hua	O	O
询	xun	O	O
问	wen	O	O
，	，	O	O
患	huan	O	O
者	zhe	O	O
已	yi	O	O
自	zi	O	O
动	dong	O	O
离	li	O	O
开	kai	O	O
医	yi	O	O
院	yuan	O	O
。	。	O	O

患	huan	O	O
者	zhe	O	O
精	jing	O	O
神	shen	O	O
可	ke	O	O
，	，	O	O
诉	su	O	O
切	qie	O	O
口	kou	O	O
无	wu	O	O
疼	teng	SB	SB
痛	tong	SE	SE
，	，	O	O
无	wu	O	O
发	fa	SB	SB
热	re	SE	SE
，	，	O	O
无	wu	O	O
声	sheng	SB	O
音	yin	SI	O
嘶	si	SI	O
哑	ya	SE	O
，	，	O	O
无	wu	O	O
饮	yin	O	O
水	shui	O	O
呛	qiang	O	O
咳	ke	O	O
，	，	O	O
无	wu	O	O
心	xin	SB	SB
慌	huang	SE	SE
。	。	O	O
切	qie	O	O
口	kou	O	O
纱	sha	O	O
布	bu	O	O
干	gan	O	O
燥	zao	O	O
固	gu	O	O
定	ding	O	O
无	wu	O	O
渗	shen	O	O
出	chu	O	O
。	。	O	O
二	er	O	O
便	bian	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
查	cha	O	O
体	ti	O	O
：	：	O	O
T	T	O	O
：	：	O	O
3	3	O	O
6	6	O	O
.	.	O	O
3	3	O	O
C	C	O	O
，	，	O	O
双	shuang	O	O
侧	ce	O	O
瞳	tong	O	O
孔	kong	O	O
正	zheng	O	O
大	da	O	O
等	deng	O	O
圆	yuan	O	O
，	，	O	O
对	dui	O	O
光	guang	O	O
反	fan	O	O
射	she	O	O
灵	ling	O	O
敏	min	O	O
。	。	O	O
颈	jing	O	O
软	ruan	O	O
，	，	O	O
无	wu	O	O
抵	di	O	O
抗	kang	O	O
。	。	O	O
双	shuang	O	O
肺	fei	O	O
呼	hu	O	O
吸	xi	O	O
音	yin	O	O
清	qing	O	O
晰	xi	O	O
，	，	O	O
未	wei	O	O
闻	wen	O	O
及	ji	O	O
干	gan	O	O
湿	shi	O	O
性	xing	O	O
啰	luo	O	O
音	yin	O	O
。	。	O	O
心	xin	O	O
率	lv	O	O
7	7	O	O
4	4	O	O
次	ci	O	O
/	/	O	O
分	fen	O	O
，	，	O	O
律	lv	O	O
齐	qi	O	O
，	，	O	O
无	wu	O	O
杂	za	O	O
音	yin	O	O
。	。	O	O
腹	fu	O	O
平	ping	O	O
软	ruan	O	O
，	，	O	O
未	wei	O	O
见	jian	O	O
肠	chang	O	O
型	xing	O	O
及	ji	O	O
蠕	ru	O	O
动	dong	O	O
波	bo	O	O
，	，	O	O
无	wu	O	O
压	ya	O	O
痛	tong	O	O
，	，	O	O
反	fan	O	O
跳	tiao	O	O
痛	tong	O	O
及	ji	O	O
肌	ji	O	O
紧	jin	O	O
张	zhang	O	O
。	。	O	O
移	yi	O	O
动	dong	O	O
性	xing	O	O
浊	zhuo	O	O
音	yin	O	O
阴	yin	O	O
性	xing	O	O
，	，	O	O
肠	chang	O	O
鸣	ming	O	O
音	yin	O	O
正	zheng	O	O
常	chang	O	O
。	。	O	O
脊	ji	O	O
柱	zhu	O	O
四	si	O	O
肢	zhi	O	O
活	huo	O	O
动	dong	O	O
自	zi	O	O
如	ru	O	O
，	，	O	O
生	sheng	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
存	cun	O	O
在	zai	O	O
，	，	O	O
病	bing	O	O
理	li	O	O
反	fan	O	O
射	she	O	O
未	wei	O	O
引	yin	O	O
出	chu	O	O
。	。	O	O
切	qie	O	O
口	kou	O	O
已	yi	O	O
拆	chai	O	O
线	xian	O	O
，	，	O	O
