b	b	B	O	O
血	xie	E	SE	SE
3	3	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
7	7	E	O	O
-	-	S	O	O
0	0	B	O	O
1	1	E	O	O
-	-	S	O	O
1	1	B	O	O
3	3	E	O	O
日	ri	S	O	O
1	1	B	O	O
3	3	E	O	O
:	:	S	O	O
0	0	B	O	O
7	7	E	O	O
分	fen	S	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

右	you	B	O	O
侧	ce	E	O	O
腰	yao	B	O	O
部	bu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
1	1	B	O	O
0	0	E	O	O
余	yu	B	O	O
天	tian	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
-	-	S	O	O
0	0	B	O	O
9	9	E	O	O
-	-	S	O	O
-	-	S	O	O
0	0	B	O	O
5	5	E	O	O

1	1	B	O	O
0	0	E	O	O
:	:	S	O	O
4	4	B	O	O
5	5	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

肿	zhong	B	SB	SB
物	wu	E	SE	SE
5	5	S	O	O
个	ge	S	O	O
月	yue	S	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

沟	gou	S	O	O
可	ke	B	O	O
复	fu	I	O	O
性	xing	E	O	O
肿	zhong	B	SB	SB
物	wu	E	SE	SE
1	1	S	O	O
个	ge	S	O	O
月	yue	B	O	O
余	yu	E	O	O
。	。	S	O	O

痛	tong	S	SS	O
、	、	S	O	O
头	tou	B	SB	O
晕	yun	E	SE	O
，	，	S	O	O
右	you	B	O	O
手	shou	E	O	O
中	zhong	B	O	O
指	zhi	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
不	bu	B	O	O
适	shi	E	O	O
2	2	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
1	1	B	O	O
1	1	E	O	O
-	-	S	O	O
1	1	B	O	O
6	6	E	O	O

1	1	B	O	O
2	2	E	O	O
:	:	S	O	O
4	4	B	O	O
0	0	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

下	xia	B	O	O
腹	fu	I	O	O
部	bu	E	O	O
胀	zhang	B	SB	SB
痛	tong	E	SE	SE
1	1	S	O	O
天	tian	B	O	O
于	yu	E	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
年	nian	S	O	O
0	0	B	O	O
9	9	E	O	O
月	yue	S	O	O
0	0	B	O	O
5	5	E	O	O
日	ri	S	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

疼	teng	B	SB	SB
痛	tong	E	SE	SE
2	2	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

3	3	S	O	O
年	nian	S	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

2	2	S	O	O
年	nian	S	O	O
膀	bang	B	O	O
胱	guang	E	O	O
造	zao	B	O	O
瘘	lv	E	O	O
口	kou	B	O	O
出	chu	E	O	O
尿	niao	S	O	O
1	1	S	O	O
年	nian	B	O	O
于	yu	E	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
7	7	E	O	O
-	-	S	O	O
-	-	S	O	O
0	0	B	O	O
2	2	E	O	O
-	-	S	O	O
-	-	S	O	O
0	0	B	O	O
6	6	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

下	xia	B	O	O
肢	zhi	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
不	bu	B	O	O
适	shi	E	O	O
1	1	S	O	O
年	nian	B	O	O
于	yu	E	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
1	1	B	O	O
1	1	E	O	O
-	-	S	O	O
2	2	B	O	O
9	9	E	O	O

1	1	B	O	O
0	0	E	O	O
:	:	S	O	O
4	4	B	O	O
8	8	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

拳	quan	B	O	O
打	da	E	O	O
伤	shang	S	O	O
左	zuo	S	O	O
面	mian	B	O	O
部	bu	E	O	O
，	，	S	O	O
双	shuang	S	O	O
上	shang	B	O	O
臂	bi	E	O	O
，	，	S	O	O
用	yong	S	O	O
改	gai	B	O	O
锥	zhui	E	O	O
划	hua	B	O	O
伤	shang	E	O	O
前	qian	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
后	hou	S	O	O
出	chu	B	SB	SB
血	xie	E	SE	SE
、	、	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
伴	ban	S	O	O
头	tou	B	SB	O
晕	yun	E	SE	O
5	5	B	O	O
.	.	I	O	O
5	5	E	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
0	0	B	O	O
2	2	E	O	O
-	-	S	O	O
1	1	B	O	O
1	1	E	O	O
；	；	S	O	O
2	2	B	O	O
2	2	E	O	O
：	：	S	O	O
4	4	B	O	O
5	5	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

下	xia	B	O	O
腹	fu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
1	1	B	O	O
2	2	E	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
7	7	E	O	O
-	-	S	O	O
0	0	B	O	O
3	3	E	O	O
-	-	S	O	O
0	0	B	O	O
8	8	E	O	O
；	；	S	O	O
1	1	B	O	O
0	0	E	O	O
：	：	S	O	O
0	0	B	O	O
0	0	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

尿	niao	S	O	O
困	kun	B	SB	O
难	nan	E	SE	O
1	1	B	O	O
0	0	E	O	O
余	yu	B	O	O
年	nian	E	O	O
，	，	S	O	O
加	jia	B	O	O
重	zhong	E	O	O
1	1	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

半	ban	B	O	O
年	nian	E	O	O
，	，	S	O	O
加	jia	B	O	O
重	zhong	E	O	O
1	1	S	O	O
周	zhou	B	O	O
于	yu	E	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
7	7	E	O	O
年	nian	S	O	O
2	2	S	O	O
月	yue	S	O	O
1	1	B	O	O
5	5	E	O	O
日	ri	S	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

、	、	S	O	O
右	you	B	O	O
手	shou	E	O	O
部	bu	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
1	1	B	O	O
.	.	I	O	O
5	5	E	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
1	1	B	O	O
0	0	E	O	O
-	-	S	O	O
1	1	B	O	O
7	7	E	O	O
；	；	S	O	O
1	1	B	O	O
6	6	E	O	O
：	：	S	O	O
1	1	B	O	O
0	0	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

沟	gou	S	O	O
可	ke	B	O	O
复	fu	I	O	O
性	xing	E	O	O
肿	zhong	B	SB	SB
物	wu	E	SE	SE
1	1	S	O	O
年	nian	B	O	O
于	yu	E	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
-	-	S	O	O
0	0	B	O	O
8	8	E	O	O
-	-	S	O	O
-	-	S	O	O
1	1	B	O	O
1	1	E	O	O

0	0	B	O	O
8	8	E	O	O
:	:	S	O	O
4	4	B	O	O
0	0	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O

1	1	S	O	O
个	ge	S	O	O
月	yue	S	O	O
。	。	S	O	O

晕	yun	S	SS	O
5	5	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O
。	。	S	O	O

疼	teng	B	SB	SB
痛	tong	E	SE	SE
3	3	S	O	O
天	tian	S	O	O
。	。	S	O	O

痛	tong	S	SS	O
1	1	B	O	O
0	0	E	O	O
小	xiao	B	O	O
时	shi	E	O	O
。	。	S	O	O

神	shen	B	O	O
清	qing	E	O	O
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
可	ke	S	O	O
。	。	S	O	O
右	you	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
不	bu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
，	，	S	O	O
双	shuang	S	O	O
上	shang	B	O	O
肢	zhi	E	O	O
无	wu	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
头	tou	B	SB	SB
痛	tong	E	SE	SE
头	tou	B	SB	SB
晕	yun	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
恶	e	B	SB	SB
心	xin	E	SI	SI
呕	ou	B	SI	SI
吐	tu	E	SE	SE
。	。	S	O	O
睡	shui	B	O	O
眠	mian	E	O	O
可	ke	S	O	O
，	，	S	O	O
饮	yin	B	O	O
食	shi	E	O	O
及	ji	B	O	O
二	er	I	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
生	sheng	B	O	O
命	ming	E	O	O
体	ti	B	O	O
征	zheng	E	O	O
平	ping	B	O	O
稳	wen	E	O	O
，	，	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
五	wu	B	O	O
官	guan	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
左	zuo	B	O	O
眉	mei	I	O	O
弓	gong	E	O	O
裂	lie	B	O	O
伤	shang	E	O	O
已	yi	S	O	O
愈	yu	B	O	O
合	he	E	O	O
。	。	S	O	O
右	you	B	O	O
眼	yan	E	O	O
下	xia	B	O	O
方	fang	E	O	O
可	ke	B	O	O
见	jian	E	O	O
青	qing	B	SB	SB
紫	zi	E	SI	SI
肿	zhong	B	SI	SI
胀	zhang	E	SE	SE
已	yi	S	O	O
消	xiao	B	O	O
退	tui	E	O	O
。	。	S	O	O
左	zuo	B	O	O
耳	er	E	O	O
前	qian	B	O	O
方	fang	E	O	O
擦	ca	B	SB	O
伤	shang	E	SE	O
已	yi	S	O	O
愈	yu	B	O	O
合	he	E	O	O
。	。	S	O	O
双	shuang	S	O	O
上	shang	B	O	O
臂	bi	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
已	yi	S	O	O
消	xiao	B	O	O
退	tui	E	O	O
。	。	S	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
活	huo	B	O	O
动	dong	E	O	O
自	zi	B	O	O
如	ru	E	O	O
。	。	S	O	O
右	you	S	O	O
胸	xiong	B	O	O
部	bu	E	O	O
无	wu	S	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
局	ju	B	O	O
部	bu	E	O	O
触	chu	B	O	O
痛	tong	E	O	O
不	bu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
。	。	S	O	O
心	xin	B	O	O
肺	fei	E	O	O
腹	fu	S	O	O
检	jian	B	O	O
查	cha	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
，	，	S	O	O
神	shen	B	O	O
经	jing	I	O	O
系	xi	I	O	O
统	tong	E	O	O
查	cha	B	O	O
体	ti	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	S	O	O
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
可	ke	S	O	O
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
、	、	S	O	O
无	wu	S	O	O
恶	e	B	SB	SB
心	xin	E	SE	SE
、	、	S	O	O
呕	ou	B	SB	SB
吐	tu	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
抽	chou	B	SB	O
搐	chu	E	SE	O
。	。	S	O	O
进	jin	B	O	O
食	shi	E	O	O
夜	ye	B	O	O
眠	mian	E	O	O
好	hao	S	O	O
，	，	S	O	O
二	er	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
B	B	B	O	O
p	p	I	O	O
1	1	I	O	O
2	2	I	O	O
9	9	E	O	O
/	/	S	O	O
7	7	B	O	O
5	5	I	O	O
m	m	I	O	O
m	m	I	O	O
H	H	I	O	O
g	g	E	O	O
，	，	S	O	O
头	tou	B	O	O
颅	lu	E	O	O
无	wu	S	O	O
畸	ji	B	SB	SB
形	xing	E	SE	SE
，	，	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
，	，	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
，	，	S	O	O
右	you	B	O	O
侧	ce	E	O	O
胸	xiong	B	O	O
壁	bi	E	O	O
腋	yi	S	O	O
前	qian	B	O	O
线	xian	E	O	O
伤	shang	B	O	O
口	kou	E	O	O
外	wai	S	O	O
敷	fu	B	O	O
料	liao	E	O	O
固	gu	B	O	O
定	ding	E	O	O
好	hao	S	O	O
，	，	S	O	O
无	wu	S	O	O
渗	shen	B	SB	SB
出	chu	E	SE	SE
，	，	S	O	O
胸	xiong	B	O	O
壁	bi	E	O	O
局	ju	B	O	O
部	bu	E	O	O
软	ruan	B	O	O
组	zu	I	O	O
织	zhi	E	O	O
无	wu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
肿	zhong	B	SB	SB
胀	zhang	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
。	。	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
叩	kou	S	O	O
清	qing	B	O	O
音	yin	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
湿	shi	B	O	O
性	xing	E	O	O
啰	luo	S	O	O
音	yin	S	O	O
。	。	S	O	O
腹	fu	B	O	O
软	ruan	E	O	O
，	，	S	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
肠	chang	S	O	O
鸣	ming	B	O	O
音	yin	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
病	bing	B	O	O
情	qing	E	O	O
好	hao	B	O	O
转	zhuan	E	O	O
，	，	S	O	O
今	jin	B	O	O
日	ri	E	O	O
出	chu	B	O	O
院	yuan	E	O	O
。	。	S	O	O

现	xian	S	O	O
患	huan	B	O	O
者	zhe	E	O	O
一	yi	B	O	O
般	ban	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
可	ke	S	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	S	O	O
清	qing	B	O	O
晰	xi	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
啰	luo	S	O	O
音	yin	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
病	bing	B	O	O
理	li	I	O	O
性	xing	E	O	O
杂	za	B	O	O
音	yin	E	O	O
，	，	S	O	O
腹	fu	S	O	O
平	ping	B	O	O
坦	tan	E	O	O
，	，	S	O	O
软	ruan	S	O	O
，	，	S	O	O
全	quan	B	O	O
腹	fu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
、	、	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
。	。	S	O	O
腰	yao	B	O	O
部	bu	E	O	O
偶	ou	B	O	O
有	you	E	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
活	huo	B	O	O
动	dong	E	O	O
无	wu	S	O	O
受	shou	B	O	O
限	xian	E	O	O
。	。	S	O	O
局	ju	B	O	O
部	bu	E	O	O
无	wu	S	O	O
红	hong	B	SB	SB
肿	zhong	E	SE	SE
。	。	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
，	，	S	O	O
神	shen	B	O	O
经	jing	I	O	O
系	xi	I	O	O
统	tong	E	O	O
查	cha	B	O	O
体	ti	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
一	yi	B	O	O
般	ban	E	O	O
情	qing	B	O	O
况	kuang	E	O	O
可	ke	S	O	O
。	。	S	O	O
头	tou	B	SB	O
痛	tong	E	SE	O
、	、	S	O	O
头	tou	B	SB	O
晕	yun	E	SE	O
症	zheng	B	O	O
状	zhuang	E	O	O
较	jiao	B	O	O
前	qian	E	O	O
缓	huan	B	O	O
解	jie	E	O	O
。	。	S	O	O
周	zhou	B	O	O
身	shen	E	O	O
皮	pi	B	O	O
肤	fu	E	O	O
抓	zhua	B	O	O
伤	shang	E	O	O
已	yi	S	O	O
结	jie	B	O	O
痂	jia	E	O	O
，	，	S	O	O
部	bu	B	O	O
分	fen	E	O	O
脱	tuo	B	O	O
痂	jia	E	O	O
。	。	S	O	O
双	shuang	B	O	O
侧	ce	E	O	O
瞳	tong	B	O	O
孔	kong	E	O	O
正	zheng	B	O	O
大	da	E	O	O
等	deng	S	O	O
圆	yuan	S	O	O
，	，	S	O	O
对	dui	S	O	O
光	guang	B	O	O
反	fan	I	O	O
射	she	E	O	O
灵	ling	B	O	O
敏	min	E	O	O
，	，	S	O	O
双	shuang	B	O	O
肺	fei	E	O	O
呼	hu	B	O	O
吸	xi	E	O	O
音	yin	S	O	O
清	qing	B	O	O
晰	xi	E	O	O
，	，	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
啰	luo	S	O	O
音	yin	S	O	O
，	，	S	O	O
律	lv	B	O	O
齐	qi	E	O	O
，	，	S	O	O
各	ge	S	O	O
瓣	ban	B	O	O
膜	mo	E	O	O
听	ting	B	O	O
诊	zhen	E	O	O
区	qu	S	O	O
未	wei	B	O	O
闻	wen	E	O	O
及	ji	S	O	O
病	bing	B	O	O
理	li	I	O	O
性	xing	E	O	O
杂	za	B	O	O
音	yin	E	O	O
，	，	S	O	O
全	quan	B	O	O
腹	fu	E	O	O
无	wu	S	O	O
压	ya	B	O	O
痛	tong	E	O	O
，	，	S	O	O
无	wu	B	O	O
反	fan	E	O	O
跳	tiao	S	O	O
痛	tong	B	O	O
及	ji	E	O	O
肌	ji	S	O	O
紧	jin	B	O	O
张	zhang	E	O	O
，	，	S	O	O
全	quan	B	O	O
腹	fu	E	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
异	yi	B	O	O
常	chang	E	O	O
包	bao	B	O	SB
块	kuai	E	O	SE
，	，	S	O	O
肝	gan	S	O	O
、	、	S	O	O
脾	pi	S	O	O
肋	lei	S	O	O
下	xia	S	O	O
未	wei	S	O	O
触	chu	B	O	O
及	ji	E	O	O
，	，	S	O	O
移	yi	B	O	O
动	dong	I	O	O
性	xing	E	O	O
浊	zhuo	B	O	O
音	yin	E	O	O
阴	yin	B	O	O
性	xing	E	O	O
，	，	S	O	O
双	shuang	B	O	O
下	xia	I	O	O
肢	zhi	E	O	O
无	wu	S	O	O
水	shui	B	SB	SB
肿	zhong	E	SE	SE
，	，	S	O	O
神	shen	B	O	O
经	jing	I	O	O
系	xi	I	O	O
统	tong	E	O	O
查	cha	B	O	O
体	ti	E	O	O
未	wei	B	O	O
见	jian	I	O	O
异	yi	I	O	O
常	chang	E	O	O
。	。	S	O	O

患	huan	B	O	O
者	zhe	E	O	O
神	shen	B	O	O
志	zhi	E	O	O
清	qing	S	O	O
，	，	S	O	O
精	jing	B	O	O
神	shen	E	O	O
尚	shang	B	O	O
好	hao	E	O	O
，	，	S	O	O
无	wu	S	O	O
明	ming	B	O	O
显	xian	E	O	O
头	tou	B	SB	SB
痛	tong	E	SE	SE
、	、	S	O	O
头	tou	B	SB	SB
晕	yun	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
恶	e	B	SB	SB
心	xin	E	SE	SE
，	，	S	O	O
无	wu	S	O	O
抽	chou	B	SB	O
搐	chu	E	SE	O
，	，	S	O	O
无	wu	S	O	O
发	fa	B	SB	SB
热	re	E	SE	SE
，	，	S	O	O
二	er	B	O	O
便	bian	E	O	O
正	zheng	B	O	O
常	chang	E	O	O
。	。	S	O	O
查	cha	B	O	O
体	ti	E	O	O
：	：	S	O	O
头	tou	B	O	O
部	bu	E	O	O
创	chuang	B	O	O
口	kou	E	O	O

